Producto,Cantidad,
Rines 15,2,Renault Gordini 
Ceniceros,2,Renault Gordini 
Defensa Delantera,1,Renault Gordini 
Velocimentro,2,Renault Gordini 
Velocimentro Incompleto,1,Renault Gordini 
Extension Tubo Llenado de Gasolina,1,Renault Gordini 
Tanque de Gasolina con Base,1,Renault Gordini 
Vista Delantera de Defensa,1,Renault Gordini 
Bases para Viscera,3,Renault Gordini 
Ajuste de Generador,1,Renault Gordini 
Baleros de Masa Delantera,5,Renault Gordini 
Bases para Manija Interior,2,Renault Gordini 
Seguros y 2 Resortes,6,Renault Gordini 
Asientos Delanteros,2,Renault Gordini 
Manguera de Frenos,3,Renault Gordini 
Resistencia,1,Renault Gordini 
Terminal de Dirección,1,Renault Gordini 
Respaldo Trasero,1,Renault Gordini 
Soporte para Motor,1,Renault Gordini 
Base de Guía para Acelerador,1,Renault Gordini 
Recuperador de Agua,1,Renault Gordini 
Balatas,6,Renault Gordini 
Generador de Voltaje,1,Renault Gordini 
Cran,1,Renault Gordini 
Freno de Mano Incompleto,1,Renault Gordini 
Cenicero para Tablero,1,Renault Gordini 
Defensa Trasera Incompleta,1,Renault Gordini 
Marcha,1,Renault Gordini 
Puente Soporte Motor,1,Renault Gordini 
FLECHA PARA DIRECCION,1,Renault Gordini 
Transmisión,1,Renault Gordini 
Puente Soporte para Motor y Transmisión,1,Renault Gordini 
Resorte para Tambor,2,Renault Gordini 
Palanca de Cambios,1,Renault Gordini 
Base para Armortiguador Delantero,3,Renault Gordini 
Emblemas Incompletos,2,Renault Gordini 
Guias de Vidrios Puertas Traseras,2,Renault Gordini 
Porta Foco y Mica Delantera,1,Renault Gordini 
Cubre Polvo Cremallera,1,Renault Gordini 
Tirantes Abrepuertas,4,Renault Gordini 
Eje Izquierdo y Derecho con Flecha,2,Renault Gordini 
Defensa Trasera ,1,Renault Gordini 
Defensa Delantera Incompleta,2,Renault Gordini 
Vidrio Trasero,1,Renault Gordini 
Vidrio Delantero,1,Renault Gordini 
Tope Para Defensa,2,Renault Gordini 
Vista Metálica para Vidrio Delantero,1,Renault Gordini 
Volante para Renault 8,1,Producto Nuevo
Regulador para Voltaje,2,Producto Nuevo
Sujeta-Vidrio Trasero,2,Producto Nuevo
Tope de Defensa,2,Producto Nuevo
Bisagra de Cajuela,2,Producto Nuevo
Manija Sube Vidrio,1,Producto Nuevo
Base para Para-Brisas,5,Producto Nuevo
Espejo Retrovisor,1,Producto Nuevo
Emblema de Volante,2,Producto Nuevo
Flotador,1,Producto Nuevo
Tornillo Perno de Defensa,2,Producto Nuevo
Cable de Clutch,1,Producto Nuevo
Valero y Tapa,1,Producto Nuevo
Buje de Horquilla,1,Producto Nuevo
Mica de Luz Trasera,2,Producto Nuevo
Mica de Luz Delantera,1,Producto Nuevo
Filtro de Aceite,1,Producto Nuevo
Vista Lateral,1,Producto Nuevo
Filtro de Aceite,1,Producto Nuevo
Tapón para Gasolina,1,Producto Nuevo
Radio,1,Producto Nuevo
Centro de Volante,1,Producto Nuevo
Motor,1,Producto Nuevo
Un par de empaque para Aleta,1,Producto Nuevo
Rollo de Empaque para Cofre Frontal,1,Producto Nuevo
Cable de Acelerador,1,Producto Nuevo
Pomo de Acelerador,2,Producto Nuevo
Membrana de Switch,1,Producto Nuevo
